                                                      Productions          |   lt                                                                      |   program                                                                 |   float                                                                   |   put                                                                     |   EPSILON                                                                 |   else                                                                    |   leq                                                                     |   id                                                                      |   neq                                                                     |   if                                                                      |   (                                                                       |   )                                                                       |   *                                                                       |   then                                                                    |   +                                                                       |   ,                                                                       |   eq                                                                      |   -                                                                       |   .                                                                       |   /                                                                       |   :                                                                       |   ;                                                                       |   =                                                                       |   floatNum                                                                |   for                                                                     |   not                                                                     |   geq                                                                     |   and                                                                     |   get                                                                     |   [                                                                       |   class                                                                   |   ]                                                                       |   sr                                                                      |   or                                                                      |   intNum                                                                  |   gt                                                                      |   int                                                                     |   {                                                                       |   }                                                                       |   return                                                                  |
                                                         assignOp          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   assignOp => [=]                                                         |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                   funcHeadOption          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcHeadOption => [EPSILON]                                             |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   funcHeadOption => [sr, id]                                              |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                          fParams          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   fParams => [EPSILON]                                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |

                                                        statBlock          |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   statBlock => [EPSILON]                                                  |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   statBlock => [EPSILON]                                                  |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   statBlock => [{, statementRepeat, }]                                    |                                                                           |                                                                           |

                                                          termMod          |   termMod => [EPSILON]                                                    |                                                                           |                                                                           |                                                                           |                                                                           |                                                                           |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |                                                                           |                                                                           |   termMod => [EPSILON]                                                    |   termMod => [multOp, factor, termMod]                                    |                                                                           |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |                                                                           |   termMod => [multOp, factor, termMod]                                    |                                                                           |   termMod => [EPSILON]                                                    |                                                                           |   termMod => [EPSILON]                                                    |                                                                           |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |   termMod => [multOp, factor, termMod]                                    |                                                                           |                                                                           |                                                                           |   termMod => [EPSILON]                                                    |                                                                           |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |   termMod => [EPSILON]                                                    |                                                                           |                                                                           |                                                                           |                                                                           |

